timestamp,buyer,seller,symbol,currency,price,quantity
0,,,AMETHYSTS,SEASHELLS,10004,1
1100,,,AMETHYSTS,SEASHELLS,9996,2
1700,,,AMETHYSTS,SEASHELLS,10002,1
1800,,,AMETHYSTS,SEASHELLS,10002,1
2000,,,AMETHYSTS,SEASHELLS,9998,1
2900,,,AMETHYSTS,SEASHELLS,9996,11
2900,,,AMETHYSTS,SEASHELLS,9996,1
3000,,,AMETHYSTS,SEASHELLS,10005,1
3100,,,AMETHYSTS,SEASHELLS,9996,2
3200,,,AMETHYSTS,SEASHELLS,9996,1
3700,,,AMETHYSTS,SEASHELLS,10002,1
3800,,,AMETHYSTS,SEASHELLS,9996,1
4200,,,AMETHYSTS,SEASHELLS,9996,2
4300,,,AMETHYSTS,SEASHELLS,9995,2
4800,,,AMETHYSTS,SEASHELLS,10004,2
6500,,,AMETHYSTS,SEASHELLS,9998,1
6600,,,AMETHYSTS,SEASHELLS,10004,2
6700,,,AMETHYSTS,SEASHELLS,10002,3
6900,,,AMETHYSTS,SEASHELLS,10002,1
7000,,,AMETHYSTS,SEASHELLS,10005,2
7300,,,AMETHYSTS,SEASHELLS,10004,2
8100,,,AMETHYSTS,SEASHELLS,9996,1
8800,,,AMETHYSTS,SEASHELLS,9998,1
10300,,,AMETHYSTS,SEASHELLS,9998,1
10400,,,AMETHYSTS,SEASHELLS,10002,1
10800,,,AMETHYSTS,SEASHELLS,10004,2
10800,,,AMETHYSTS,SEASHELLS,10004,10
11100,,,AMETHYSTS,SEASHELLS,9998,3
11100,,,AMETHYSTS,SEASHELLS,9998,4
11400,,,AMETHYSTS,SEASHELLS,9996,1
11500,,,AMETHYSTS,SEASHELLS,10002,2
12000,,,AMETHYSTS,SEASHELLS,10002,1
13000,,,AMETHYSTS,SEASHELLS,10002,1
13200,,,AMETHYSTS,SEASHELLS,9998,2
13300,,,AMETHYSTS,SEASHELLS,10005,2
15300,,,AMETHYSTS,SEASHELLS,10002,1
15400,,,AMETHYSTS,SEASHELLS,9998,1
15600,,,AMETHYSTS,SEASHELLS,10004,2
15700,,,AMETHYSTS,SEASHELLS,10002,1
16200,,,AMETHYSTS,SEASHELLS,9998,1
16300,,,AMETHYSTS,SEASHELLS,10004,1
16400,,,AMETHYSTS,SEASHELLS,10002,1
16700,,,AMETHYSTS,SEASHELLS,10002,1
16800,,,AMETHYSTS,SEASHELLS,9995,5
19300,,,AMETHYSTS,SEASHELLS,9996,1
19700,,,AMETHYSTS,SEASHELLS,10002,1
20100,,,AMETHYSTS,SEASHELLS,10002,4
20100,,,AMETHYSTS,SEASHELLS,10002,1
20200,,,AMETHYSTS,SEASHELLS,9998,1
20500,,,AMETHYSTS,SEASHELLS,9998,1
20700,,,AMETHYSTS,SEASHELLS,10002,1
21200,,,AMETHYSTS,SEASHELLS,9998,1
21300,,,AMETHYSTS,SEASHELLS,9996,1
21300,,,AMETHYSTS,SEASHELLS,9996,7
22200,,,AMETHYSTS,SEASHELLS,9998,6
22400,,,AMETHYSTS,SEASHELLS,9998,1
22800,,,AMETHYSTS,SEASHELLS,9998,2
23200,,,AMETHYSTS,SEASHELLS,9998,2
23300,,,AMETHYSTS,SEASHELLS,9998,1
23700,,,AMETHYSTS,SEASHELLS,10002,1
24100,,,AMETHYSTS,SEASHELLS,9996,1
24100,,,AMETHYSTS,SEASHELLS,9996,7
24500,,,AMETHYSTS,SEASHELLS,10002,1
24600,,,AMETHYSTS,SEASHELLS,9998,2
25100,,,AMETHYSTS,SEASHELLS,10002,1
25200,,,AMETHYSTS,SEASHELLS,9998,5
25200,,,AMETHYSTS,SEASHELLS,10002,1
25200,,,AMETHYSTS,SEASHELLS,9998,3
25700,,,AMETHYSTS,SEASHELLS,10004,2
26300,,,AMETHYSTS,SEASHELLS,9998,1
26600,,,AMETHYSTS,SEASHELLS,9998,1
27600,,,AMETHYSTS,SEASHELLS,9998,4
28200,,,AMETHYSTS,SEASHELLS,9998,2
29000,,,AMETHYSTS,SEASHELLS,10005,8
29400,,,AMETHYSTS,SEASHELLS,10002,1
30000,,,AMETHYSTS,SEASHELLS,9998,1
30000,,,AMETHYSTS,SEASHELLS,9998,3
30600,,,AMETHYSTS,SEASHELLS,10002,1
31900,,,AMETHYSTS,SEASHELLS,10005,2
32600,,,AMETHYSTS,SEASHELLS,10002,1
32600,,,AMETHYSTS,SEASHELLS,10005,2
32800,,,AMETHYSTS,SEASHELLS,9996,2
33000,,,AMETHYSTS,SEASHELLS,10002,6
33500,,,AMETHYSTS,SEASHELLS,10004,1
33600,,,AMETHYSTS,SEASHELLS,10002,6
34100,,,AMETHYSTS,SEASHELLS,9996,2
34100,,,AMETHYSTS,SEASHELLS,9996,1
34300,,,AMETHYSTS,SEASHELLS,10002,1
35000,,,AMETHYSTS,SEASHELLS,10002,1
35100,,,AMETHYSTS,SEASHELLS,10002,3
35400,,,AMETHYSTS,SEASHELLS,10002,3
36100,,,AMETHYSTS,SEASHELLS,10002,1
36200,,,AMETHYSTS,SEASHELLS,9998,1
37500,,,AMETHYSTS,SEASHELLS,9996,1
38500,,,AMETHYSTS,SEASHELLS,10002,1
38600,,,AMETHYSTS,SEASHELLS,9996,1
38800,,,AMETHYSTS,SEASHELLS,9996,1
39200,,,AMETHYSTS,SEASHELLS,9998,1
39400,,,AMETHYSTS,SEASHELLS,10004,1
39500,,,AMETHYSTS,SEASHELLS,9998,1
40900,,,AMETHYSTS,SEASHELLS,10004,8
40900,,,AMETHYSTS,SEASHELLS,10004,2
40900,,,AMETHYSTS,SEASHELLS,10004,1
42500,,,AMETHYSTS,SEASHELLS,10002,1
42500,,,AMETHYSTS,SEASHELLS,10002,3
42600,,,AMETHYSTS,SEASHELLS,9995,2
42900,,,AMETHYSTS,SEASHELLS,10005,2
43900,,,AMETHYSTS,SEASHELLS,10002,4
44800,,,AMETHYSTS,SEASHELLS,9998,1
45000,,,AMETHYSTS,SEASHELLS,10002,1
45900,,,AMETHYSTS,SEASHELLS,10004,1
46600,,,AMETHYSTS,SEASHELLS,9998,2
47100,,,AMETHYSTS,SEASHELLS,9998,1
47500,,,AMETHYSTS,SEASHELLS,10002,4
48100,,,AMETHYSTS,SEASHELLS,9995,2
48600,,,AMETHYSTS,SEASHELLS,9996,1
49900,,,AMETHYSTS,SEASHELLS,10005,2
49900,,,AMETHYSTS,SEASHELLS,9998,6
50400,,,AMETHYSTS,SEASHELLS,9998,1
50600,,,AMETHYSTS,SEASHELLS,10002,1
51600,,,AMETHYSTS,SEASHELLS,10002,1
51700,,,AMETHYSTS,SEASHELLS,9995,11
51900,,,AMETHYSTS,SEASHELLS,9996,1
52100,,,AMETHYSTS,SEASHELLS,9995,8
52300,,,AMETHYSTS,SEASHELLS,10002,1
52900,,,AMETHYSTS,SEASHELLS,10005,6
53900,,,AMETHYSTS,SEASHELLS,10004,2
54100,,,AMETHYSTS,SEASHELLS,9998,1
54300,,,AMETHYSTS,SEASHELLS,10004,2
54300,,,AMETHYSTS,SEASHELLS,10004,1
54600,,,AMETHYSTS,SEASHELLS,10002,3
55100,,,AMETHYSTS,SEASHELLS,10005,2
55700,,,AMETHYSTS,SEASHELLS,9996,1
57200,,,AMETHYSTS,SEASHELLS,10002,2
57800,,,AMETHYSTS,SEASHELLS,9998,1
57900,,,AMETHYSTS,SEASHELLS,9998,1
58000,,,AMETHYSTS,SEASHELLS,9998,4
58100,,,AMETHYSTS,SEASHELLS,10005,3
58600,,,AMETHYSTS,SEASHELLS,10002,1
58800,,,AMETHYSTS,SEASHELLS,9995,12
59100,,,AMETHYSTS,SEASHELLS,10005,1
60000,,,AMETHYSTS,SEASHELLS,9998,2
60000,,,AMETHYSTS,SEASHELLS,10005,1
60200,,,AMETHYSTS,SEASHELLS,9995,8
61900,,,AMETHYSTS,SEASHELLS,9998,1
62200,,,AMETHYSTS,SEASHELLS,10002,4
62300,,,AMETHYSTS,SEASHELLS,10005,2
62900,,,AMETHYSTS,SEASHELLS,9998,4
63900,,,AMETHYSTS,SEASHELLS,9995,12
64000,,,AMETHYSTS,SEASHELLS,9998,1
64200,,,AMETHYSTS,SEASHELLS,9996,1
64200,,,AMETHYSTS,SEASHELLS,9996,2
64400,,,AMETHYSTS,SEASHELLS,9998,4
64500,,,AMETHYSTS,SEASHELLS,9998,1
65000,,,AMETHYSTS,SEASHELLS,9998,1
65100,,,AMETHYSTS,SEASHELLS,9996,2
65100,,,AMETHYSTS,SEASHELLS,9996,1
65300,,,AMETHYSTS,SEASHELLS,10002,2
66000,,,AMETHYSTS,SEASHELLS,9998,1
67300,,,AMETHYSTS,SEASHELLS,9998,5
68100,,,AMETHYSTS,SEASHELLS,9998,2
69300,,,AMETHYSTS,SEASHELLS,9998,1
69700,,,AMETHYSTS,SEASHELLS,10002,1
70300,,,AMETHYSTS,SEASHELLS,9998,2
70600,,,AMETHYSTS,SEASHELLS,9996,1
71200,,,AMETHYSTS,SEASHELLS,10002,1
71500,,,AMETHYSTS,SEASHELLS,10002,3
71900,,,AMETHYSTS,SEASHELLS,10002,1
72400,,,AMETHYSTS,SEASHELLS,10002,1
72500,,,AMETHYSTS,SEASHELLS,10004,1
72900,,,AMETHYSTS,SEASHELLS,10004,1
73000,,,AMETHYSTS,SEASHELLS,10002,1
73100,,,AMETHYSTS,SEASHELLS,10002,1
74000,,,AMETHYSTS,SEASHELLS,10002,1
